iter	Logloss
269	0.6527489989
270	0.6525741469
271	0.6524418853
272	0.6522743114
273	0.6521211882
274	0.6519529992
275	0.651835603
276	0.6516901514
277	0.6515152323
278	0.651361596
279	0.6511538525
280	0.6509857641
281	0.6508471338
282	0.6506721003
283	0.6505014359
284	0.6503527418
285	0.6502095398
286	0.6500766569
287	0.649946057
288	0.6497607243
289	0.6495788689
290	0.6494557881
291	0.6492950903
292	0.6491310568
293	0.6489227212
294	0.6487721043
295	0.6486093278
296	0.6484108419
297	0.6482294236
298	0.6480645931
299	0.6479033274
300	0.6476681818
301	0.6474687989
302	0.6473407899
303	0.6471941101
304	0.6470520415
305	0.6469173791
306	0.6467398926
307	0.646607732
308	0.6464267282
309	0.6462648038
310	0.6460901798
311	0.6459272733
312	0.6457340689
313	0.6455442037
314	0.6454269456
315	0.6452533712
316	0.6451043003
317	0.6449803167
318	0.6448275618
319	0.6446743035
320	0.6444504053
321	0.6442857728
322	0.6441099259
323	0.6439287189
324	0.643762427
325	0.6436236881
326	0.6434665146
327	0.6433159351
328	0.6431490465
329	0.6430014702
330	0.6429050023
331	0.6427291126
332	0.6426021536
333	0.6424423952
334	0.6422528299
335	0.6421191096
336	0.6419833467
337	0.641839017
338	0.6417166855
339	0.6415735181
340	0.6414467575
341	0.641323022
342	0.6411832492
343	0.6410246523
344	0.6408480525
345	0.6407328442
346	0.6406472539
347	0.6405429566
348	0.6404258403
349	0.6402994054
350	0.6401749889
351	0.640033635
352	0.6398696313
353	0.6397090987
354	0.6395282615
355	0.6393968659
356	0.6392458897
357	0.6390591833
358	0.6389380703
359	0.6387473259
360	0.6386158302
361	0.6384503706
362	0.6382681116
363	0.6381788916
364	0.6379694939
365	0.6377886582
366	0.6376515262
367	0.6376072148
368	0.6374496551
369	0.63732875
370	0.6371653305
371	0.6369564912
372	0.6368104254
373	0.6366732631
374	0.6365213714
375	0.6363448897
376	0.6362068535
377	0.6360275964
378	0.6358514108
379	0.6356817989
380	0.6355580745
381	0.6354207571
382	0.6352694178
383	0.6351102212
384	0.6349495671
385	0.6347852858
386	0.634658126
387	0.6344797535
388	0.6343310926
389	0.6341910126
390	0.6340440858
391	0.633932006
392	0.6338019623
393	0.6336792018
394	0.6335420235
395	0.6333789753
396	0.6332945291
397	0.6331331943
398	0.6330001672
399	0.6328895973
400	0.6327109204
401	0.632615037
402	0.6324375879
403	0.6323112357
404	0.6322055998
405	0.632071892
406	0.6318983706
407	0.6317655515
408	0.6316475328
409	0.6314576892
410	0.6313174248
411	0.6311543995
412	0.6310023208
413	0.6308446754
414	0.6306755816
415	0.6305446452
416	0.6304685413
417	0.6303371507
418	0.6301421077
419	0.6299644464
420	0.6298417523
421	0.6296942428
422	0.6295661305
423	0.6294636542
424	0.6293182336
425	0.6291986396
426	0.6290750316
427	0.6289488558
428	0.6288358068
429	0.6286841119
430	0.6285404518
431	0.6284188114
432	0.6282383664
433	0.6281047683
434	0.627968105
435	0.6278353128
436	0.6276986437
437	0.627569926
438	0.6274694143
439	0.6273184413
440	0.6272180332
441	0.627047112
442	0.6268709273
443	0.6267379551
444	0.6266279469
445	0.6265053374
446	0.6263205958
447	0.6261746285
448	0.6260011528
449	0.6258862227
450	0.6256527998
451	0.6254765281
452	0.625340833
453	0.6252022958
454	0.6250878875
455	0.6248898844
456	0.6247203454
457	0.6245702172
458	0.6244283824
459	0.6242975066
460	0.6241454578
461	0.6240418682
462	0.6238987273
463	0.6237430408
464	0.6235829771
465	0.623450844
466	0.6233231368
467	0.6231819288
468	0.6230602274
469	0.622882608
470	0.6227933524
471	0.6226393602
472	0.6225112153
473	0.6223891663
474	0.6222527992
475	0.6221247845
476	0.6219770065
477	0.6218460617
478	0.6217442144
479	0.6216193398
480	0.6214798529
481	0.6213015629
482	0.6211541603
483	0.6210201757
484	0.6208809679
485	0.6207347811
486	0.6205672584
487	0.6204738957
488	0.6203514876
489	0.62024156
490	0.6201422276
491	0.6199947699
492	0.6198812054
493	0.6197373963
494	0.6195834457
495	0.6194743855
496	0.6193167026
497	0.6191666314
498	0.6190221727
499	0.6189225498
